universe,effective_date,ticker
NIFTY_100,2020-12-31,ABBOTINDIA.NS
NIFTY_100,2020-12-31,ACC.NS
NIFTY_100,2020-12-31,ADANIGREEN.NS
NIFTY_100,2020-12-31,ADANIPORTS.NS
NIFTY_100,2020-12-31,ADANITRANS.NS
NIFTY_100,2020-12-31,ALKEM.NS
NIFTY_100,2020-12-31,AMBUJACEM.NS
NIFTY_100,2020-12-31,ASIANPAINT.NS
NIFTY_100,2020-12-31,AUROPHARMA.NS
NIFTY_100,2020-12-31,AXISBANK.NS
NIFTY_100,2020-12-31,BAJAJ-AUTO.NS
NIFTY_100,2020-12-31,BAJAJFINSV.NS
NIFTY_100,2020-12-31,BAJAJHLDNG.NS
NIFTY_100,2020-12-31,BAJFINANCE.NS
NIFTY_100,2020-12-31,BANDHANBNK.NS
NIFTY_100,2020-12-31,BANKBARODA.NS
NIFTY_100,2020-12-31,BERGEPAINT.NS
NIFTY_100,2020-12-31,BHARTIARTL.NS
NIFTY_100,2020-12-31,BIOCON.NS
NIFTY_100,2020-12-31,BOSCHLTD.NS
NIFTY_100,2020-12-31,BPCL.NS
NIFTY_100,2020-12-31,BRITANNIA.NS
NIFTY_100,2020-12-31,CADILAHC.NS
NIFTY_100,2020-12-31,CIPLA.NS
NIFTY_100,2020-12-31,COALINDIA.NS
NIFTY_100,2020-12-31,COLPAL.NS
NIFTY_100,2020-12-31,CONCOR.NS
NIFTY_100,2020-12-31,DABUR.NS
NIFTY_100,2020-12-31,DIVISLAB.NS
NIFTY_100,2020-12-31,DLF.NS
NIFTY_100,2020-12-31,DMART.NS
NIFTY_100,2020-12-31,DRREDDY.NS
NIFTY_100,2020-12-31,EICHERMOT.NS
NIFTY_100,2020-12-31,GAIL.NS
NIFTY_100,2020-12-31,GICRE.NS
NIFTY_100,2020-12-31,GODREJCP.NS
NIFTY_100,2020-12-31,GRASIM.NS
NIFTY_100,2020-12-31,HAVELLS.NS
NIFTY_100,2020-12-31,HCLTECH.NS
NIFTY_100,2020-12-31,HDFC.NS
NIFTY_100,2020-12-31,HDFCAMC.NS
NIFTY_100,2020-12-31,HDFCBANK.NS
NIFTY_100,2020-12-31,HDFCLIFE.NS
NIFTY_100,2020-12-31,HEROMOTOCO.NS
NIFTY_100,2020-12-31,HINDALCO.NS
NIFTY_100,2020-12-31,HINDPETRO.NS
NIFTY_100,2020-12-31,HINDUNILVR.NS
NIFTY_100,2020-12-31,HINDZINC.NS
NIFTY_100,2020-12-31,ICICIBANK.NS
NIFTY_100,2020-12-31,ICICIGI.NS
NIFTY_100,2020-12-31,ICICIPRULI.NS
NIFTY_100,2020-12-31,IGL.NS
NIFTY_100,2020-12-31,INDIGO.NS
NIFTY_100,2020-12-31,INDUSINDBK.NS
NIFTY_100,2020-12-31,INDUSTOWER.NS
NIFTY_100,2020-12-31,INFY.NS
NIFTY_100,2020-12-31,IOC.NS
NIFTY_100,2020-12-31,ITC.NS
NIFTY_100,2020-12-31,JSWSTEEL.NS
NIFTY_100,2020-12-31,KOTAKBANK.NS
NIFTY_100,2020-12-31,LT.NS
NIFTY_100,2020-12-31,LTI.NS
NIFTY_100,2020-12-31,LUPIN.NS
NIFTY_100,2020-12-31,M&M.NS
NIFTY_100,2020-12-31,MARICO.NS
NIFTY_100,2020-12-31,MARUTI.NS
NIFTY_100,2020-12-31,MCDOWELL-N.NS
NIFTY_100,2020-12-31,MOTHERSUMI.NS
NIFTY_100,2020-12-31,MUTHOOTFIN.NS
NIFTY_100,2020-12-31,NAUKRI.NS
NIFTY_100,2020-12-31,NESTLEIND.NS
NIFTY_100,2020-12-31,NMDC.NS
NIFTY_100,2020-12-31,NTPC.NS
NIFTY_100,2020-12-31,OFSS.NS
NIFTY_100,2020-12-31,ONGC.NS
NIFTY_100,2020-12-31,PEL.NS
NIFTY_100,2020-12-31,PETRONET.NS
NIFTY_100,2020-12-31,PFC.NS
NIFTY_100,2020-12-31,PGHH.NS
NIFTY_100,2020-12-31,PIDILITIND.NS
NIFTY_100,2020-12-31,PNB.NS
NIFTY_100,2020-12-31,POWERGRID.NS
NIFTY_100,2020-12-31,RELIANCE.NS
NIFTY_100,2020-12-31,SBICARD.NS
NIFTY_100,2020-12-31,SBILIFE.NS
NIFTY_100,2020-12-31,SBIN.NS
NIFTY_100,2020-12-31,SHREECEM.NS
NIFTY_100,2020-12-31,SIEMENS.NS
NIFTY_100,2020-12-31,SUNPHARMA.NS
NIFTY_100,2020-12-31,TATACONSUM.NS
NIFTY_100,2020-12-31,TATAMOTORS.NS
NIFTY_100,2020-12-31,TATASTEEL.NS
NIFTY_100,2020-12-31,TCS.NS
NIFTY_100,2020-12-31,TECHM.NS
NIFTY_100,2020-12-31,TITAN.NS
NIFTY_100,2020-12-31,TORNTPHARM.NS
NIFTY_100,2020-12-31,UBL.NS
NIFTY_100,2020-12-31,ULTRACEMCO.NS
NIFTY_100,2020-12-31,UPL.NS
NIFTY_100,2020-12-31,WIPRO.NS
NIFTY_MIDCAP_100,2020-12-31,AARTIIND.NS
NIFTY_MIDCAP_100,2020-12-31,ABCAPITAL.NS
NIFTY_MIDCAP_100,2020-12-31,ABFRL.NS
NIFTY_MIDCAP_100,2020-12-31,ADANIENT.NS
NIFTY_MIDCAP_100,2020-12-31,ADANIGAS.NS
NIFTY_MIDCAP_100,2020-12-31,AJANTPHARM.NS
NIFTY_MIDCAP_100,2020-12-31,AMARAJABAT.NS
NIFTY_MIDCAP_100,2020-12-31,APLLTD.NS
NIFTY_MIDCAP_100,2020-12-31,APOLLOHOSP.NS
NIFTY_MIDCAP_100,2020-12-31,APOLLOTYRE.NS
NIFTY_MIDCAP_100,2020-12-31,ASHOKLEY.NS
NIFTY_MIDCAP_100,2020-12-31,AUBANK.NS
NIFTY_MIDCAP_100,2020-12-31,BALKRISIND.NS
NIFTY_MIDCAP_100,2020-12-31,BANKINDIA.NS
NIFTY_MIDCAP_100,2020-12-31,BATAINDIA.NS
NIFTY_MIDCAP_100,2020-12-31,BBTC.NS
NIFTY_MIDCAP_100,2020-12-31,BEL.NS
NIFTY_MIDCAP_100,2020-12-31,BHARATFORG.NS
NIFTY_MIDCAP_100,2020-12-31,BHEL.NS
NIFTY_MIDCAP_100,2020-12-31,CANBK.NS
NIFTY_MIDCAP_100,2020-12-31,CASTROLIND.NS
NIFTY_MIDCAP_100,2020-12-31,CESC.NS
NIFTY_MIDCAP_100,2020-12-31,CHOLAFIN.NS
NIFTY_MIDCAP_100,2020-12-31,COFORGE.NS
NIFTY_MIDCAP_100,2020-12-31,COROMANDEL.NS
NIFTY_MIDCAP_100,2020-12-31,CROMPTON.NS
NIFTY_MIDCAP_100,2020-12-31,CUB.NS
NIFTY_MIDCAP_100,2020-12-31,CUMMINSIND.NS
NIFTY_MIDCAP_100,2020-12-31,DALBHARAT.NS
NIFTY_MIDCAP_100,2020-12-31,DHANI.NS
NIFTY_MIDCAP_100,2020-12-31,EDELWEISS.NS
NIFTY_MIDCAP_100,2020-12-31,EMAMILTD.NS
NIFTY_MIDCAP_100,2020-12-31,ENDURANCE.NS
NIFTY_MIDCAP_100,2020-12-31,ESCORTS.NS
NIFTY_MIDCAP_100,2020-12-31,EXIDEIND.NS
NIFTY_MIDCAP_100,2020-12-31,FEDERALBNK.NS
NIFTY_MIDCAP_100,2020-12-31,FORTIS.NS
NIFTY_MIDCAP_100,2020-12-31,FRETAIL.NS
NIFTY_MIDCAP_100,2020-12-31,GLENMARK.NS
NIFTY_MIDCAP_100,2020-12-31,GMRINFRA.NS
NIFTY_MIDCAP_100,2020-12-31,GODREJAGRO.NS
NIFTY_MIDCAP_100,2020-12-31,GODREJIND.NS
NIFTY_MIDCAP_100,2020-12-31,GODREJPROP.NS
NIFTY_MIDCAP_100,2020-12-31,GSPL.NS
NIFTY_MIDCAP_100,2020-12-31,GUJGASLTD.NS
NIFTY_MIDCAP_100,2020-12-31,HUDCO.NS
NIFTY_MIDCAP_100,2020-12-31,IBULHSGFIN.NS
NIFTY_MIDCAP_100,2020-12-31,IDEA.NS
NIFTY_MIDCAP_100,2020-12-31,IDFCFIRSTB.NS
NIFTY_MIDCAP_100,2020-12-31,INDHOTEL.NS
NIFTY_MIDCAP_100,2020-12-31,IPCALAB.NS
NIFTY_MIDCAP_100,2020-12-31,IRCTC.NS
NIFTY_MIDCAP_100,2020-12-31,ISEC.NS
NIFTY_MIDCAP_100,2020-12-31,JINDALSTEL.NS
NIFTY_MIDCAP_100,2020-12-31,JSWENERGY.NS
NIFTY_MIDCAP_100,2020-12-31,JUBLFOOD.NS
NIFTY_MIDCAP_100,2020-12-31,L&TFH.NS
NIFTY_MIDCAP_100,2020-12-31,LALPATHLAB.NS
NIFTY_MIDCAP_100,2020-12-31,LICHSGFIN.NS
NIFTY_MIDCAP_100,2020-12-31,LTTS.NS
NIFTY_MIDCAP_100,2020-12-31,M&MFIN.NS
NIFTY_MIDCAP_100,2020-12-31,MANAPPURAM.NS
NIFTY_MIDCAP_100,2020-12-31,MFSL.NS
NIFTY_MIDCAP_100,2020-12-31,MGL.NS
NIFTY_MIDCAP_100,2020-12-31,MINDTREE.NS
NIFTY_MIDCAP_100,2020-12-31,MPHASIS.NS
NIFTY_MIDCAP_100,2020-12-31,MRF.NS
NIFTY_MIDCAP_100,2020-12-31,NAM-INDIA.NS
NIFTY_MIDCAP_100,2020-12-31,NATCOPHARM.NS
NIFTY_MIDCAP_100,2020-12-31,NATIONALUM.NS
NIFTY_MIDCAP_100,2020-12-31,NAVINFLUOR.NS
NIFTY_MIDCAP_100,2020-12-31,OBEROIRLTY.NS
NIFTY_MIDCAP_100,2020-12-31,OIL.NS
NIFTY_MIDCAP_100,2020-12-31,PAGEIND.NS
NIFTY_MIDCAP_100,2020-12-31,PFIZER.NS
NIFTY_MIDCAP_100,2020-12-31,PIIND.NS
NIFTY_MIDCAP_100,2020-12-31,POLYCAB.NS
NIFTY_MIDCAP_100,2020-12-31,PRESTIGE.NS
NIFTY_MIDCAP_100,2020-12-31,RAJESHEXPO.NS
NIFTY_MIDCAP_100,2020-12-31,RAMCOCEM.NS
NIFTY_MIDCAP_100,2020-12-31,RBLBANK.NS
NIFTY_MIDCAP_100,2020-12-31,RECLTD.NS
NIFTY_MIDCAP_100,2020-12-31,SAIL.NS
NIFTY_MIDCAP_100,2020-12-31,SANOFI.NS
NIFTY_MIDCAP_100,2020-12-31,SRF.NS
NIFTY_MIDCAP_100,2020-12-31,SRTRANSFIN.NS
NIFTY_MIDCAP_100,2020-12-31,SUNTV.NS
NIFTY_MIDCAP_100,2020-12-31,SYNGENE.NS
NIFTY_MIDCAP_100,2020-12-31,TATACHEM.NS
NIFTY_MIDCAP_100,2020-12-31,TATAPOWER.NS
NIFTY_MIDCAP_100,2020-12-31,TORNTPOWER.NS
NIFTY_MIDCAP_100,2020-12-31,TRENT.NS
NIFTY_MIDCAP_100,2020-12-31,TVSMOTOR.NS
NIFTY_MIDCAP_100,2020-12-31,UNIONBANK.NS
NIFTY_MIDCAP_100,2020-12-31,VBL.NS
NIFTY_MIDCAP_100,2020-12-31,VGUARD.NS
NIFTY_MIDCAP_100,2020-12-31,VOLTAS.NS
NIFTY_MIDCAP_100,2020-12-31,WHIRLPOOL.NS
NIFTY_MIDCAP_100,2020-12-31,YESBANK.NS
NIFTY_MIDCAP_100,2020-12-31,ZEEL.NS
NIFTY_SMALLCAP_100,2020-12-31,AEGISCHEM.NS
NIFTY_SMALLCAP_100,2020-12-31,AFFLE.NS
NIFTY_SMALLCAP_100,2020-12-31,ALOKINDS.NS
NIFTY_SMALLCAP_100,2020-12-31,AMBER.NS
NIFTY_SMALLCAP_100,2020-12-31,ASTERDM.NS
NIFTY_SMALLCAP_100,2020-12-31,AVANTIFEED.NS
NIFTY_SMALLCAP_100,2020-12-31,BAJAJELEC.NS
NIFTY_SMALLCAP_100,2020-12-31,BALRAMCHIN.NS
NIFTY_SMALLCAP_100,2020-12-31,BASF.NS
NIFTY_SMALLCAP_100,2020-12-31,BDL.NS
NIFTY_SMALLCAP_100,2020-12-31,BEML.NS
NIFTY_SMALLCAP_100,2020-12-31,BIRLACORPN.NS
NIFTY_SMALLCAP_100,2020-12-31,BLUESTARCO.NS
NIFTY_SMALLCAP_100,2020-12-31,CANFINHOME.NS
NIFTY_SMALLCAP_100,2020-12-31,CDSL.NS
NIFTY_SMALLCAP_100,2020-12-31,CEATLTD.NS
NIFTY_SMALLCAP_100,2020-12-31,CENTURYPLY.NS
NIFTY_SMALLCAP_100,2020-12-31,CENTURYTEX.NS
NIFTY_SMALLCAP_100,2020-12-31,CHAMBLFERT.NS
NIFTY_SMALLCAP_100,2020-12-31,COCHINSHIP.NS
NIFTY_SMALLCAP_100,2020-12-31,CSBBANK.NS
NIFTY_SMALLCAP_100,2020-12-31,CYIENT.NS
NIFTY_SMALLCAP_100,2020-12-31,DBL.NS
NIFTY_SMALLCAP_100,2020-12-31,DCBBANK.NS
NIFTY_SMALLCAP_100,2020-12-31,DCMSHRIRAM.NS
NIFTY_SMALLCAP_100,2020-12-31,DEEPAKNTR.NS
NIFTY_SMALLCAP_100,2020-12-31,DELTACORP.NS
NIFTY_SMALLCAP_100,2020-12-31,DIXON.NS
NIFTY_SMALLCAP_100,2020-12-31,EIDPARRY.NS
NIFTY_SMALLCAP_100,2020-12-31,ENGINERSIN.NS
NIFTY_SMALLCAP_100,2020-12-31,EQUITAS.NS
NIFTY_SMALLCAP_100,2020-12-31,FDC.NS
NIFTY_SMALLCAP_100,2020-12-31,FSL.NS
NIFTY_SMALLCAP_100,2020-12-31,GMMPFAUDLR.NS
NIFTY_SMALLCAP_100,2020-12-31,GNFC.NS
NIFTY_SMALLCAP_100,2020-12-31,GODFRYPHLP.NS
NIFTY_SMALLCAP_100,2020-12-31,GRANULES.NS
NIFTY_SMALLCAP_100,2020-12-31,GRAPHITE.NS
NIFTY_SMALLCAP_100,2020-12-31,HEG.NS
NIFTY_SMALLCAP_100,2020-12-31,HEIDELBERG.NS
NIFTY_SMALLCAP_100,2020-12-31,IBREALEST.NS
NIFTY_SMALLCAP_100,2020-12-31,IDBI.NS
NIFTY_SMALLCAP_100,2020-12-31,IDFC.NS
NIFTY_SMALLCAP_100,2020-12-31,IEX.NS
NIFTY_SMALLCAP_100,2020-12-31,INDIACEM.NS
NIFTY_SMALLCAP_100,2020-12-31,INDIAMART.NS
NIFTY_SMALLCAP_100,2020-12-31,INDIANB.NS
NIFTY_SMALLCAP_100,2020-12-31,INOXLEISUR.NS
NIFTY_SMALLCAP_100,2020-12-31,IOLCP.NS
NIFTY_SMALLCAP_100,2020-12-31,IRB.NS
NIFTY_SMALLCAP_100,2020-12-31,IRCON.NS
NIFTY_SMALLCAP_100,2020-12-31,JBCHEPHARM.NS
NIFTY_SMALLCAP_100,2020-12-31,JKLAKSHMI.NS
NIFTY_SMALLCAP_100,2020-12-31,JUSTDIAL.NS
NIFTY_SMALLCAP_100,2020-12-31,KAJARIACER.NS
NIFTY_SMALLCAP_100,2020-12-31,KALPATPOWR.NS
NIFTY_SMALLCAP_100,2020-12-31,KARURVYSYA.NS
NIFTY_SMALLCAP_100,2020-12-31,KEC.NS
NIFTY_SMALLCAP_100,2020-12-31,KEI.NS
NIFTY_SMALLCAP_100,2020-12-31,KSCL.NS
NIFTY_SMALLCAP_100,2020-12-31,LAURUSLABS.NS
NIFTY_SMALLCAP_100,2020-12-31,LEMONTREE.NS
NIFTY_SMALLCAP_100,2020-12-31,LINDEINDIA.NS
NIFTY_SMALLCAP_100,2020-12-31,LUXIND.NS
NIFTY_SMALLCAP_100,2020-12-31,MCX.NS
NIFTY_SMALLCAP_100,2020-12-31,MIDHANI.NS
NIFTY_SMALLCAP_100,2020-12-31,MOIL.NS
NIFTY_SMALLCAP_100,2020-12-31,NBCC.NS
NIFTY_SMALLCAP_100,2020-12-31,OMAXE.NS
NIFTY_SMALLCAP_100,2020-12-31,PERSISTENT.NS
NIFTY_SMALLCAP_100,2020-12-31,PGHL.NS
NIFTY_SMALLCAP_100,2020-12-31,PNBHOUSING.NS
NIFTY_SMALLCAP_100,2020-12-31,PVR.NS
NIFTY_SMALLCAP_100,2020-12-31,RADICO.NS
NIFTY_SMALLCAP_100,2020-12-31,RAIN.NS
NIFTY_SMALLCAP_100,2020-12-31,RALLIS.NS
NIFTY_SMALLCAP_100,2020-12-31,RCF.NS
NIFTY_SMALLCAP_100,2020-12-31,RITES.NS
NIFTY_SMALLCAP_100,2020-12-31,RVNL.NS
NIFTY_SMALLCAP_100,2020-12-31,SOBHA.NS
NIFTY_SMALLCAP_100,2020-12-31,SONATSOFTW.NS
NIFTY_SMALLCAP_100,2020-12-31,SPARC.NS
NIFTY_SMALLCAP_100,2020-12-31,SPICEJET.NS
NIFTY_SMALLCAP_100,2020-12-31,STAR.NS
NIFTY_SMALLCAP_100,2020-12-31,STLTECH.NS
NIFTY_SMALLCAP_100,2020-12-31,SUNTECK.NS
NIFTY_SMALLCAP_100,2020-12-31,SUVENPHAR.NS
NIFTY_SMALLCAP_100,2020-12-31,TATAELXSI.NS
NIFTY_SMALLCAP_100,2020-12-31,THYROCARE.NS
NIFTY_SMALLCAP_100,2020-12-31,TIMKEN.NS
NIFTY_SMALLCAP_100,2020-12-31,TRIDENT.NS
NIFTY_SMALLCAP_100,2020-12-31,TV18BRDCST.NS
NIFTY_SMALLCAP_100,2020-12-31,UJJIVAN.NS
NIFTY_SMALLCAP_100,2020-12-31,UJJIVANSFB.NS
NIFTY_SMALLCAP_100,2020-12-31,VAKRANGEE.NS
NIFTY_SMALLCAP_100,2020-12-31,VIPIND.NS
NIFTY_SMALLCAP_100,2020-12-31,WELCORP.NS
NIFTY_SMALLCAP_100,2020-12-31,WELSPUNIND.NS
NIFTY_SMALLCAP_100,2020-12-31,WESTLIFE.NS
NIFTY_SMALLCAP_100,2020-12-31,WOCKPHARMA.NS
NIFTY_100,2021-01-31,ABBOTINDIA.NS
NIFTY_100,2021-01-31,ACC.NS
NIFTY_100,2021-01-31,ADANIGREEN.NS
NIFTY_100,2021-01-31,ADANIPORTS.NS
NIFTY_100,2021-01-31,ADANITRANS.NS
NIFTY_100,2021-01-31,ALKEM.NS
NIFTY_100,2021-01-31,AMBUJACEM.NS
NIFTY_100,2021-01-31,ASIANPAINT.NS
NIFTY_100,2021-01-31,AUROPHARMA.NS
NIFTY_100,2021-01-31,AXISBANK.NS
NIFTY_100,2021-01-31,BAJAJ-AUTO.NS
NIFTY_100,2021-01-31,BAJAJFINSV.NS
NIFTY_100,2021-01-31,BAJAJHLDNG.NS
NIFTY_100,2021-01-31,BAJFINANCE.NS
NIFTY_100,2021-01-31,BANDHANBNK.NS
NIFTY_100,2021-01-31,BANKBARODA.NS
NIFTY_100,2021-01-31,BERGEPAINT.NS
NIFTY_100,2021-01-31,BHARTIARTL.NS
NIFTY_100,2021-01-31,BIOCON.NS
NIFTY_100,2021-01-31,BOSCHLTD.NS
NIFTY_100,2021-01-31,BPCL.NS
NIFTY_100,2021-01-31,BRITANNIA.NS
NIFTY_100,2021-01-31,CADILAHC.NS
NIFTY_100,2021-01-31,CIPLA.NS
NIFTY_100,2021-01-31,COALINDIA.NS
NIFTY_100,2021-01-31,COLPAL.NS
NIFTY_100,2021-01-31,CONCOR.NS
NIFTY_100,2021-01-31,DABUR.NS
NIFTY_100,2021-01-31,DIVISLAB.NS
NIFTY_100,2021-01-31,DLF.NS
NIFTY_100,2021-01-31,DMART.NS
NIFTY_100,2021-01-31,DRREDDY.NS
NIFTY_100,2021-01-31,EICHERMOT.NS
NIFTY_100,2021-01-31,GAIL.NS
NIFTY_100,2021-01-31,GICRE.NS
NIFTY_100,2021-01-31,GODREJCP.NS
NIFTY_100,2021-01-31,GRASIM.NS
NIFTY_100,2021-01-31,HAVELLS.NS
NIFTY_100,2021-01-31,HCLTECH.NS
NIFTY_100,2021-01-31,HDFC.NS
NIFTY_100,2021-01-31,HDFCAMC.NS
NIFTY_100,2021-01-31,HDFCBANK.NS
NIFTY_100,2021-01-31,HDFCLIFE.NS
NIFTY_100,2021-01-31,HEROMOTOCO.NS
NIFTY_100,2021-01-31,HINDALCO.NS
NIFTY_100,2021-01-31,HINDPETRO.NS
NIFTY_100,2021-01-31,HINDUNILVR.NS
NIFTY_100,2021-01-31,HINDZINC.NS
NIFTY_100,2021-01-31,ICICIBANK.NS
NIFTY_100,2021-01-31,ICICIGI.NS
NIFTY_100,2021-01-31,ICICIPRULI.NS
NIFTY_100,2021-01-31,IGL.NS
NIFTY_100,2021-01-31,INDIGO.NS
NIFTY_100,2021-01-31,INDUSINDBK.NS
NIFTY_100,2021-01-31,INDUSTOWER.NS
NIFTY_100,2021-01-31,INFY.NS
NIFTY_100,2021-01-31,IOC.NS
NIFTY_100,2021-01-31,ITC.NS
NIFTY_100,2021-01-31,JSWSTEEL.NS
NIFTY_100,2021-01-31,KOTAKBANK.NS
NIFTY_100,2021-01-31,LT.NS
NIFTY_100,2021-01-31,LTI.NS
NIFTY_100,2021-01-31,LUPIN.NS
NIFTY_100,2021-01-31,M&M.NS
NIFTY_100,2021-01-31,MARICO.NS
NIFTY_100,2021-01-31,MARUTI.NS
NIFTY_100,2021-01-31,MCDOWELL-N.NS
NIFTY_100,2021-01-31,MOTHERSUMI.NS
NIFTY_100,2021-01-31,MUTHOOTFIN.NS
NIFTY_100,2021-01-31,NAUKRI.NS
NIFTY_100,2021-01-31,NESTLEIND.NS
NIFTY_100,2021-01-31,NMDC.NS
NIFTY_100,2021-01-31,NTPC.NS
NIFTY_100,2021-01-31,OFSS.NS
NIFTY_100,2021-01-31,ONGC.NS
NIFTY_100,2021-01-31,PEL.NS
NIFTY_100,2021-01-31,PETRONET.NS
NIFTY_100,2021-01-31,PFC.NS
NIFTY_100,2021-01-31,PGHH.NS
NIFTY_100,2021-01-31,PIDILITIND.NS
NIFTY_100,2021-01-31,PNB.NS
NIFTY_100,2021-01-31,POWERGRID.NS
NIFTY_100,2021-01-31,RELIANCE.NS
NIFTY_100,2021-01-31,SBICARD.NS
NIFTY_100,2021-01-31,SBILIFE.NS
NIFTY_100,2021-01-31,SBIN.NS
NIFTY_100,2021-01-31,SHREECEM.NS
NIFTY_100,2021-01-31,SIEMENS.NS
NIFTY_100,2021-01-31,SUNPHARMA.NS
NIFTY_100,2021-01-31,TATACONSUM.NS
NIFTY_100,2021-01-31,TATAMOTORS.NS
NIFTY_100,2021-01-31,TATASTEEL.NS
NIFTY_100,2021-01-31,TCS.NS
NIFTY_100,2021-01-31,TECHM.NS
NIFTY_100,2021-01-31,TITAN.NS
NIFTY_100,2021-01-31,TORNTPHARM.NS
NIFTY_100,2021-01-31,UBL.NS
NIFTY_100,2021-01-31,ULTRACEMCO.NS
NIFTY_100,2021-01-31,UPL.NS
NIFTY_100,2021-01-31,WIPRO.NS
NIFTY_MIDCAP_100,2021-01-31,AARTIIND.NS
NIFTY_MIDCAP_100,2021-01-31,ABCAPITAL.NS
NIFTY_MIDCAP_100,2021-01-31,ABFRL.NS
NIFTY_MIDCAP_100,2021-01-31,ADANIENT.NS
NIFTY_MIDCAP_100,2021-01-31,ADANIGAS.NS
NIFTY_MIDCAP_100,2021-01-31,AJANTPHARM.NS
NIFTY_MIDCAP_100,2021-01-31,AMARAJABAT.NS
NIFTY_MIDCAP_100,2021-01-31,APLLTD.NS
NIFTY_MIDCAP_100,2021-01-31,APOLLOHOSP.NS
NIFTY_MIDCAP_100,2021-01-31,APOLLOTYRE.NS
NIFTY_MIDCAP_100,2021-01-31,ASHOKLEY.NS
NIFTY_MIDCAP_100,2021-01-31,AUBANK.NS
NIFTY_MIDCAP_100,2021-01-31,BALKRISIND.NS
NIFTY_MIDCAP_100,2021-01-31,BANKINDIA.NS
NIFTY_MIDCAP_100,2021-01-31,BATAINDIA.NS
NIFTY_MIDCAP_100,2021-01-31,BBTC.NS
NIFTY_MIDCAP_100,2021-01-31,BEL.NS
NIFTY_MIDCAP_100,2021-01-31,BHARATFORG.NS
NIFTY_MIDCAP_100,2021-01-31,BHEL.NS
NIFTY_MIDCAP_100,2021-01-31,CANBK.NS
NIFTY_MIDCAP_100,2021-01-31,CASTROLIND.NS
NIFTY_MIDCAP_100,2021-01-31,CESC.NS
NIFTY_MIDCAP_100,2021-01-31,CHOLAFIN.NS
NIFTY_MIDCAP_100,2021-01-31,COFORGE.NS
NIFTY_MIDCAP_100,2021-01-31,COROMANDEL.NS
NIFTY_MIDCAP_100,2021-01-31,CROMPTON.NS
NIFTY_MIDCAP_100,2021-01-31,CUB.NS
NIFTY_MIDCAP_100,2021-01-31,CUMMINSIND.NS
NIFTY_MIDCAP_100,2021-01-31,DALBHARAT.NS
NIFTY_MIDCAP_100,2021-01-31,DHANI.NS
NIFTY_MIDCAP_100,2021-01-31,EDELWEISS.NS
NIFTY_MIDCAP_100,2021-01-31,EMAMILTD.NS
NIFTY_MIDCAP_100,2021-01-31,ENDURANCE.NS
NIFTY_MIDCAP_100,2021-01-31,ESCORTS.NS
NIFTY_MIDCAP_100,2021-01-31,EXIDEIND.NS
NIFTY_MIDCAP_100,2021-01-31,FEDERALBNK.NS
NIFTY_MIDCAP_100,2021-01-31,FORTIS.NS
NIFTY_MIDCAP_100,2021-01-31,FRETAIL.NS
NIFTY_MIDCAP_100,2021-01-31,GLENMARK.NS
NIFTY_MIDCAP_100,2021-01-31,GMRINFRA.NS
NIFTY_MIDCAP_100,2021-01-31,GODREJAGRO.NS
NIFTY_MIDCAP_100,2021-01-31,GODREJIND.NS
NIFTY_MIDCAP_100,2021-01-31,GODREJPROP.NS
NIFTY_MIDCAP_100,2021-01-31,GSPL.NS
NIFTY_MIDCAP_100,2021-01-31,GUJGASLTD.NS
NIFTY_MIDCAP_100,2021-01-31,HUDCO.NS
NIFTY_MIDCAP_100,2021-01-31,IBULHSGFIN.NS
NIFTY_MIDCAP_100,2021-01-31,IDEA.NS
NIFTY_MIDCAP_100,2021-01-31,IDFCFIRSTB.NS
NIFTY_MIDCAP_100,2021-01-31,INDHOTEL.NS
NIFTY_MIDCAP_100,2021-01-31,IPCALAB.NS
NIFTY_MIDCAP_100,2021-01-31,IRCTC.NS
NIFTY_MIDCAP_100,2021-01-31,ISEC.NS
NIFTY_MIDCAP_100,2021-01-31,JINDALSTEL.NS
NIFTY_MIDCAP_100,2021-01-31,JSWENERGY.NS
NIFTY_MIDCAP_100,2021-01-31,JUBLFOOD.NS
NIFTY_MIDCAP_100,2021-01-31,L&TFH.NS
NIFTY_MIDCAP_100,2021-01-31,LALPATHLAB.NS
NIFTY_MIDCAP_100,2021-01-31,LICHSGFIN.NS
NIFTY_MIDCAP_100,2021-01-31,LTTS.NS
NIFTY_MIDCAP_100,2021-01-31,M&MFIN.NS
NIFTY_MIDCAP_100,2021-01-31,MANAPPURAM.NS
NIFTY_MIDCAP_100,2021-01-31,MFSL.NS
NIFTY_MIDCAP_100,2021-01-31,MGL.NS
NIFTY_MIDCAP_100,2021-01-31,MINDTREE.NS
NIFTY_MIDCAP_100,2021-01-31,MPHASIS.NS
NIFTY_MIDCAP_100,2021-01-31,MRF.NS
NIFTY_MIDCAP_100,2021-01-31,NAM-INDIA.NS
NIFTY_MIDCAP_100,2021-01-31,NATCOPHARM.NS
NIFTY_MIDCAP_100,2021-01-31,NATIONALUM.NS
NIFTY_MIDCAP_100,2021-01-31,NAVINFLUOR.NS
NIFTY_MIDCAP_100,2021-01-31,OBEROIRLTY.NS
NIFTY_MIDCAP_100,2021-01-31,OIL.NS
NIFTY_MIDCAP_100,2021-01-31,PAGEIND.NS
NIFTY_MIDCAP_100,2021-01-31,PFIZER.NS
NIFTY_MIDCAP_100,2021-01-31,PIIND.NS
